,metadata_name,metadata_activityType,metadata_climbCategory,metadata_verifiedStatus,measurements_distance,measurements_avgGrade,measurements_elevHigh,measurements_elevLow,elevationChart_url,totalAthletes,totalEfforts,athletePrEffort_timing_elapsedTime,athletePrEffort_activity_id,leaderboards_leaderboardEfforts_athlete_id,leaderboards_leaderboardEfforts_athlete_firstName,leaderboards_leaderboardEfforts_athlete_lastName,leaderboards_leaderboardEfforts_activity_id,leaderboards_leaderboardEfforts_timing_elapsedTime,athletePrEffort,distance_miles,cr_speed
50,Western Texas,Ride,,,8336.900390625,-0.05277739837765694,187.39999389648438,179.8000030517578,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/OOUIAAFTZWJCU2EAAV4YLDJVKQRFRTJ6JXKUUWLROZCABODXHUMRAM2H2UT36NX4DENRL7PLD4======,998,8177,922.0,12113354481,1866361,Sabin,West,1053594049,641,,5.180322610899499,29.093855537033072
51,East Ave: Jackson to Roosevelt,Ride,,,1140.199951171875,-0.07016310095787048,195.0,192.8000030517578,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/J43PKXVIXTX4JM42TLPGGI7PGU4J2CZG357GLCUMRHV5LI3IYBZBDZ5OA6R2MMIACOR2BQCS,976,29201,,,18181861,Spencer,Kirk,3356538526,91,,0.708489163987644,28.028142751159542
52,Friars Rock,Ride,,,514.2999877929688,-0.058331698179244995,189.3000030517578,188.8000030517578,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/Q437R5KYT76Y36D6EFA3S7A5WRYVR7E4F6CKBPHDFYYJQ7OMH7XVEG42WL57ASXZNABYHYBS,1475,22911,,,66054160,Andrew,Ernest,11704391507,46,,0.3195719908738792,25.009981894477505
53,And so it begins,Ride,,,4410.0,0.06575959920883179,191.89999389648438,184.60000610351562,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/JSWJLLUHD25K4Q6LRA4HD6FWOYY4EUC7TWMFJ23FG3S6VORLBZ7DA34B2T2ITTBU4MTQ7KZB,22,293,,,67376125,Miguel,Leal,12329410024,579,,2.740253768625648,17.037847266066205
54,"Randolph St west, Ridgeland to Desplaines",Ride,,,2259.199951171875,0.09295330196619034,191.0,188.6999969482422,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/WRPE3PQHDHQKE4Y3HMJ6KV62CD72R7MHBE7NKWU2G62RQS2FDQSWNPPR4J6UUF3TUYMCZT3CTI======,152,262,,,66054160,Andrew,Ernest,11331327950,220,,1.4038052562987777,22.971358739434542
55,Lake Harvard Ridge,Ride,,,1916.0,-0.7828810214996338,198.0,181.0,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/WIVCNSE3B6TDAXXPTFLDH5R4DJHZAOOEGL37IVJJRW6GMNUVELGYKGR45BLRWUXERAXR7YKGHQ======,339,3819,,,47345897,ABRAHAM EMILIO,GARCIª,10805156400,149,,1.1905501634210298,28.764970391380583
56,Ridgeland sprint,Ride,,,674.7000122070312,-0.14821399748325348,189.89999389648438,188.89999389648438,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/QYFJYYBGDP6PIE2NURZUIBGJ7PARVEI5BZG72QU5ZDNC7BSTGIEW4TNLIEYEOT3CQYD4QO4XOY======,686,8860,88.0,12213225845,22697408,JR,Ritchie⚡,5002200389,49,,0.41924019300274107,30.8013203022422
57,Spin out 3,Ride,,,567.4000244140625,-0.08812130242586136,189.89999389648438,189.1999969482422,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/4ZYFPAQSCXPBMNWDTFH7JUQLG343SXAXVJ2ZUM3ZGKXPQIEFX7OQSFQQL56NGPF3B7X7YHV7,25,94,,,4465157,Forest,Hynes,4152191033,50,,0.3525669059453332,25.38481722806399
58,Austin to Halsted,Ride,,,10841.0,-0.10238900035619736,188.5,177.39999389648438,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/HGTZXNODRGH6KDAKS5NXW7UUNJFAYW32XWWUM5ENG2H5L5DSTOG4DKEJVQVHOU65JC5YSR3T6M======,250,3831,,,66054160,Andrew,Ernest,11769722402,1163,,6.736301838020555,20.85183715982287
59,OP - Home Stretch Sprint,Ride,,,627.864990234375,0.462242990732193,188.72799682617188,185.8249969482422,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/GOS6OQFZZ3A7JIMVWIVRGAGK4VPR7FYGRIVEXDH3F2556XDKTC7T7VMP7R2M5I7QXFXKCC57,1424,15284,,,2967533,richard ,Gear,369870760,36,,0.3901381872285378,39.01381872285378
60,Long to Pine lil hill,Ride,,,337.3999938964844,0.8002369999885559,189.0,186.10000610351562,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/LN7KQVEH2T5JQLYQQXHCSGYKEKSKJJIXF3POWJTWGMM2OV3XDJRIJ3PRLFGYVSXRFNSO6T6DVQ======,920,5830,,,17705750,Kipp,Wallace,1687637071,30,,0.2096511575530866,25.158138906370393
61,Division - Cicero to Kostner,Ride,,,686.7000122070312,-0.10193700343370438,185.5,184.60000610351562,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/EPVF76VJGP4LCLBVRSWYO3VLLSNUDZQJ7GL5ED6PXPLTL6OKBIVUCCMXOK73C5XFEF22D3KB64======,375,4446,,,47722124,Andreas,Grunwaldt,9304400455,34,,0.42669666584253874,45.179646971562924
